text,label
Playboy is an intended third-party beneficiary of this Contract.,1
"Ehave shall be a third party beneficiary hereunder, but shall not have any obligations to the End User thereunder.",1
"Member hereby acknowledges and agrees that Franchisor is an intended third-party beneficiary of this Agreement with the right to enforce it, independently or jointly with Franchisee.",1
"Any successor of any party or of any such controlling person, or any legal representative of such controlling person, as the case may be, shall be entitled to the benefit of the respective indemnity and contribution agreements.",1
"The parties agree that the Investment Advisor shall be a third party beneficiary of this Agreement, and shall have the rights and protections provided to the Licensee under this Agreement.",1
"Except as expressly stated herein with respect to members of each Party, no person or entity not a Party to this Agreement (including, without limitation, any employee of either Party or the Joint Venture) shall be a third-party beneficiary of any provision of this Agreement, and nothing contained herein shall be construed or deemed to confer any benefit or right upon any third party.",1
"Given the current regulatory and technical environment you should not have an expectation of privacy in your online activities 6. iPass and its suppliers shall be deemed to be third-party beneficiaries of this agreement, with the right to enforce the terms of this agreement.",1
It is understood that Duval is not a party hereto and has no liability hereunder but is an intended specific third party creditor beneficiary hereof.,1
"Upon the death of the Employee, proceeds shall be paid in one sum to the Owner, its successors or assigns, to the extent of its interest in the Policy as described in the Agreement.",1
"Each of the parties agree that the foregoing indemnities also apply for the benefit of the NFL (and its affiliates), South Florida Stadium Corporation, the owner and operator of Pro Player Stadium and their respective officials, officers, partners, agents and employees, who shall be deemed third party beneficiaries of this Agreement for the purpose of enforcing these indemnity obligations.",1
"Notwithstanding anything to the contrary in this Agreement, both the Owner and Servicer agree that the Agent shall be deemed to be a third-party beneficiary of this Agreement and has the authority to enforce the provisions hereof.",1
Other System franchisees shall be deemed third party beneficiaries of such.,1
"There are no Third Party beneficiaries under this Agreement, except to the extent a Third Party is indemnified pursuant to Article 12 (Indemnification; Insurance); provided that, in no event will any Third Party entitled to indemnification pursuant to Article 12 (Indemnification; Insurance) be allowed to enforce the terms thereof against a Party.",1
"The Owner Trustee and the Indenture Trustee, for the benefit of the Secured Parties, will be third-party beneficiaries of this Agreement and may enforce this Agreement against the Depositor and the Servicer.",1
All AT&T Affiliates receiving Material or Services under this Agreement and the federal government of the United States shall be express third party beneficiaries under this Agreement.,1
"(g) Notwithstanding anything to the contrary in this Agreement, each of the Indemnified Parties has relied on this Section 13.9, is an express third party beneficiary of this Section 13.9 and is entitled to enforce the obligations of the applicable Indemnified Parties under this Section 13.9 directly against such Indemnified Parties to the full extent thereof.",1
Lessor and Lessee expressly agree that bw-3 is a third party beneficiary of this Addendum.,1
"Changepoint, Inc. (""Changepoint"") shall be a direct and intended third-party beneficiary to this Agreement.",1
"(c) Right of Indemnity in Favour of Others With respect to any Indemnified Party who is not a party to this Agreement, the Agents shall obtain and hold the rights and benefits of this Section 11 in trust for and on behalf of such Indemnified Party.",1
"Except as expressly set forth in this Agreement and with the exception of the Affiliates of Bank of America, the Parties do not intend the benefits of this Agreement to inure to any third party, and nothing contained herein shall be construed as creating any right, claim or cause of action in favor of any such other third party, against either of the Parties hereto.",1
"The parties agree that Investment Advisor shall be a third party beneficiary of this Agreement, and shall have the rights and protections provided to Licensee under this Agreement.",1
"14.7 No Third-Party Beneficiaries
Except as expressly provided in Section 8, this Agreement does not create any intended third party beneficiary rights.",1
"Notwithstanding Section 16.18 of the Outsourcing Base Agreement, MS is an intended third party beneficiary of this Attachment 6 only, with full rights to enforce the terms of this Attachment 6 on its own behalf, but only to the extent that the terms of this Attachment 6 pertains to the MS Software Images and related MS documentation.",1
Lessor and Lessee expressly agree that Franchisor is a third party beneficiary of this Addendum.,1
"Notwithstanding the foregoing, UTK may assign this Agreement or any portion of its Compensation as outlined herein to its subsidiaries in its sole discretion.",1
Any other services not provided for under this Agreement shall be subject to the terms of a separate agreement between the parties at a cost to Corio of twenty percent (20%) off Changepoint's standard fees for the applicable services.,0
"Subject to the terms and conditions of this Agreement, T&L further agrees to pay to Operating Company as a contribution to capital upon Formation (as defined below) $3,000,000.",0
"Upon receipt of written notice, Changepoint shall have fifteen (15) days to correct the defect, reinstall the Software at the Corio site and re-perform the Acceptance Test.",0
"As used herein, ""Reasonable Steps"" means using at least the same degree of care that the receiving Party uses to protect its own Confidential Information, and, in any event, no less than reasonable care.",0
"CHANNEL PARTNER'S PAYMENT OBLIGATIONS, LIABILITY FOR EARLY TERMINATION FEES OR CHARGES, BREACHES OF CONFIDENTIALITY BY EITHER PARTY, MISAPPROPRIATION OF INTELLECTUAL PROPERTY RIGHTS OF THE OTHER PARTY, AND THE PARTIES' INDEMNIFICATION OBLIGATIONS UNDER THIS AGREEMENT ARE EXCLUDED FROM THESE LIMITATIONS OF LIABILITY.",0
"Any disputes arising out of this Agreement shall be resolved by binding arbitration in accordance with the then-current commercial arbitration rules of the American Arbitration Association (""RULES"").",0
"""Amortization Period"" means the Payment Date beginning on the earlier of (i) the Payment Date in February 2022 or (ii) the Payment Date on or immediately following the date on which an Amortization Event occurs and ending on the earlier of (a) the Payment Date on which each Class of Notes have been paid in full and (b) the Final Maturity Date.",0
Customer agrees to strictly enforce the provisions of such non-disclosure agreements set forth in this Section 2.3 and all other provisions of this Agreement as applicable to any and all uses of the Licensed Materials.,0
"The execution and delivery of this Agreement and each Loan Document to which it is a party by it, and the performance by it of the transactions contemplated by this Agreement and the fulfillment by it of the terms hereof and thereof applicable to such party, will not conflict with, violate or result in any breach of any of the terms and provisions of, or constitute (with or without notice or lapse of time or both) a default under, any material indenture, contract, agreement, mortgage, deed of trust or other instrument to which it is a party or by which it or its properties are bound.",0
"If there is a conflict or if the parties cannot reasonably agree as to the selection of counsel, the Servicer or the Marketing Agent, as applicable, will pay the reasonable fees and expenses of separate counsel to the Indemnified Person.",0
"The Parties agree that their respective contributions to the Operating Company have equal value, and that no payment shall be made from one Party to the other Party in the event appraisals performed for tax accounting reasons of the Transferred Assets give rise or would give rise to different valuations.",0
The Source Code for the Bank of America Customizations may be use by Bank of America without any of the restrictions set forth in this Section.,0
"""Credit Payment"" means, with respect to any Collection Period, an amount equal to the reduction in the amount owed by an Obligor under a Receivable due to the application of any Credits to such Obligor's account that would have otherwise constituted Collections during such Collection Period.",0
"This Agreement may be executed in one or more counterparts, each of which, when executed and delivered by facsimile, electronic transmission or by mail delivery, will be deemed an original and all of which will constitute one and the same instrument.",0
"If any Receivable becomes a Bankruptcy Surrendered Receivable, the Depositor will enforce such Originator's or the Servicer's obligation, as applicable, to reacquire or acquire, respectively, any such Receivable transferred and absolutely assigned by it to the Depositor pursuant to Section 4.6 or 4.7, respectively, of the applicable Receivables Transfer Agreement.",0
"However, in the event MSL discovers any materially adverse lien or encumbrance that prevents MSL from using or operating the assets, within sixty (60) days after such notice to IBM, IBM shall clear all such materially adverse lien or encumbrances.",0
"In that case, this Agreement will be a security agreement under Law and the Issuer will have the rights and remedies of a secured party and creditor under the UCC.",0
"Judgment upon the award rendered in any such arbitration may be entered in any court having jurisdiction thereof, or application may be made to such court for a judicial acceptance of the award and an enforcement, as the law of such jurisdiction may require or allow.",0
"Notice of the occurrence of a Benchmark Transition Event and its related Benchmark Replacement Date, the determination of a Benchmark Replacement and the making of any Benchmark Replacement Conforming Changes will be delivered in writing by the Administrator to the Issuer, the Owner Trustee, a Responsible Person of the Indenture Trustee, the Parent Support Provider, the Sponsor, the Depositor and the Servicer and included in the Monthly Investor Report.",0
Both parties acknowledge that any professional services provided to Corio subsequent to the installation and acceptance of the Software are non-essential for the purpose of the acceptance of the Software.,0
"Unless otherwise specified in this Agreement, all accounting terms used in this Agreement shall be interpreted, all accounting determinations under this Agreement shall be made, and all financial statements required to be delivered by any person pursuant to this Agreement shall be prepared, in accordance with U.S. generally accepted accounting principles, as in effect from time to time and as applied on a consistent basis.",0
"""Introduces"" and ""Introduced"" means that a party arranges or arranged an initial substantive meeting (in person or by phone) between a senior decision maker at the Client and the other party.",0
The Software may only be used by the number of Software Users licensed under Customer agreements with Corio for the Software as part of the Corio Services.,0
"Any amounts payable (including any recoupment claims or other amounts to be reimbursed) by Vendor or its Affiliates to AT&T or its Affiliates under this Agreement (including under the Build Addendum or the Maintenance Addendum) may be offset against the Maintenance Fees or any payment due or to become due to Vendor or its Affiliates from AT&T or its Affiliates under the Transport Agreement, Master License Agreement; provided, however, that AT&T's offset right under this Section 3.22 shall not apply to any Structured Payments for any Cell Site that has reached Location Acceptance and AT&T hereby waives all such rights of setoff and recoupment against such Structured Payments.",0
"Nothing in this Section 13.3 (Effects of Expiration and Termination) limits or precludes any other remedies available to a Party, including for example, the seeking and obtaining of injunctive relief.",0
"Except as stated above, any document in a Receivable File may be a photocopy or in electronic format or may be converted to electronic format at any time.",0
"The Joint Venture will manufacture such Astaxanthin to the standard required for its business, and each Party desiring to market Astaxanthin for other uses shall process the product acquired from the Operating Company at its own cost and expense.",0
"The title of this Agreement and the headings of the various articles, section and subsections have been inserted only for the purpose of convenience, are not part of this Agreement and shall not be deemed in any manner to modify, explain, expand or restrict any of the provisions of this Agreement.",0
"Any Person (a) into which the Depositor is merged or consolidated, (b) resulting from a merger or consolidation to which the Depositor is a party, (c) succeeding to the Depositor's business or (d) that is an Affiliate of the Depositor to whom the Depositor has assigned this Agreement, will be the successor to the Depositor under this Agreement.",0
"This will be a reflection of MSLs on time deliveries, flexibility in meeting the customers unplanned requirements, the quality of the services performed and MSL's relationship, in general with IBM's customers.",0
"Location franchise as an efficiently operated business offering high quality services, and observing the highest standards of cleanliness, sanitation, efficient, courteous service and pleasant ambiance, and in that connection will take, without limitation, the following actions during the term of this Agreement: (1) thorough cleaning, repainting and redecorating of the interior and exterior of the Premises at reasonable intervals; (2) interior and exterior repair of the Premises; and (3) repair or replacement of damaged, worn out or obsolete equipment, furniture, furnishings and signs; (c) you will not make any material alterations to the Premises or the appearance of the Franchise, as originally developed, without our advance written approval.",0
"(iv) On or before the first Payment Date during the Amortization Period, the Servicer will direct the Note Paying Agent to withdraw all funds in the Acquisition Account and deposit the funds into the Collection Account.",0
"However, if a specific price reduction is the direct result of a previously IBM approved substantial engineering, design, or resourcing change by MSL, that price reduction will be [*] for a period of [*] months, then [*] of the Parts price reduction will be [*] to IBM.",0
The descriptive headings contained in this Agreement are for convenience of reference only and shall not affect in any way the meaning or interpretation of this Agreement.,0
"In the event you fail or refuse to comply with the requirements of this Paragraph XVII, we have the right to enter upon the premises where your Franchised Restaurant was conducted, without being guilty of trespass or any other tort, for the purpose of making or causing to be made such changes as may be required at your expense, which expense you will pay upon demand.",0
The Offered Shares have not been and will not be registered under the U.S. Securities Act or any state securities laws and may be offered and sold only in transactions exempt from or not subject to the registration requirements of the U.S. Securities Act and applicable state securities laws.,0
"In consideration for the services to be provided, AVDU agrees that it will remit the agreed upon stock certificate within five (5) days of both parties executing this Agreement.",0
"The Dolphins agree to provide written notice to Hydron of the failure to receive any payment, and Hydron shall have a five (5) business day period following delivery of written notice in which to cure the payment default before the Dolphins may elect to terminate this Agreement and pursue applicable remedies.",0
