text,label
"Prior to payment under this section, Sonos may audit all relevant documents to ensure that actual losses reasonably approximating the Purchase Order cancellation or Rolling Forecast quantity reduction charge have been suffered by IAC as the result of the cancellation or quantity reduction.",0
"Except for obligations to pay amounts due under this Agreement, neither party will be liable for any failure or delay in its performance under this Agreement due to causes which are beyond its reasonable control, including, but not limited to, acts of God, acts of civil or military authority, fires, epidemics, floods, earthquakes, riots, wars, sabotage, labor shortages or disputes, and governmental actions; provided, however, that the affected party: (a) gives the other party written notice of such cause promptly, and in any event within fifteen (15) days of discovery thereof; and (b) uses its reasonable efforts to correct such failure or delay in its performance as soon as possible.",0
"If the rejected FRU passes all inspection and test criteria, the FRU shall be classified as NDF and such FRU shall be returned to IBM freight collect.",0
"Detto may not assign any of its rights or delegate any of its obligations hereunder, whether by operation of law or otherwise, without PivX's prior written consent.",0
"All costs associated with any security breach, including but not limited to, the costs of the notices to, and credit monitoring for, Affected Persons shall be the sole responsibility of Supplier.",0
This Agreement shall be binding upon the successors and permitted assigns of the Parties and the name of a Party appearing herein shall be deemed to include the names of such Party's successors and permitted assigns to the extent necessary to carry out the intent of this Agreement.,0
Manufacturer shall reimburse Customer for excess Customer-Supplied Materials used as a result of Manufacturer's failure to achieve the minimum average yield or usage (as applicable) set forth in the applicable Facility Addendum.,0
"Distributor may not negotiate the terms of the End-User License Agreement with any prospective End-User or agree to any conflicting, different or additional terms from those set forth in the End-User License Agreement without Developer's prior written consent.",0
"This Agreement shall automatically be renewed for successive one (1) year increments unless either party request in writing, at least ninety (90) days prior to the anniversary date, that this Agreement not to be renewed.",0
Distributor shall use commercially reasonable efforts to cause each of its Oncology Care Systems sales personnel with any sales duties related to the Systems to attend any training provided by Accuray in such personnel's Accuray Region pursuant to Section 4.12.,0
"NICE may at its discretion, at any time, cancel, in whole or in part, PO's of Products issued
 18
 pursuant to this Agreement subject to the delivery of prior written notice, before the respective Due Date.",0
"For Loaned Programs which are not subject to IBM's or another supplier's or publisher's license agreement, IBM grants MSL a license to use, store, modify and make sufficient copies to support MSL's Authorized Use under this Agreement.",0
"b) In the event of a necessary or desired change in any material aspect of the Agreement, the Parties shall mutually agree to any such change in writing prior to its implementation.",0
"For the removal of doubt, Contractor shall not be liable for any infringement of an Intellectual Property right due to any NICE Proprietary Information, NICE Intellectual Property, NICE Software, Non Generic Equipment (if used in accordance with the instructions provided by NICE), and due to performance as is of NICE written instructions including specifications and design.",0
"In the event of termination in accordance with Section 5.1, PivX shall not be liable to Detto because of such termination for compensation, reimbursement or damages on account of the loss of prospective profits or anticipated sales or on account of expenditures, inventory, investments, leases or commitments in connection with the business or goodwill of Detto.",0
"If the defaulting party fails to cure such default or submit an acceptable written plan to resolve such default within thirty (30) days following notice of default, the non-defaulting party shall have the right to terminate this Agreement by furnishing the defaulting party with sixty (60) days written notice of termination.",0
The initial members of the Project Team and the Project Managers are set forth in Appendix 3 attached hereto which may be updated from time to time to reflect changes in the Project Team and/or Project Managers as provided in this Section 2.2.,0
"Prices
The price payable for the Services shall be the sum of the prices set out in this Agreement and established in accordance with the economic conditions prevailing in two thousand and fifteen (2015).",0
"CONFIDENTIAL
EXECUTION VERSION
EXHIBIT 1.37
IST GUIDELINES
[ * ]
EXHIBIT 1.56(a)
BINIMETINIB PRODUCT TRADEMARKS
[ * ]
EXHIBIT 1.56(b)
ENCORAFENIB PRODUCT TRADEMARKS
[ * ]
EXHIBIT 4.1 EXISTING CLINICAL STUDIES
Phase III Trials:
BEACON CRC Trial / NCT02928224 ""Phase 3 Randomized Encorafenib plus Cetuximab vs. Irinotecan A Multicenter, Randomized, Open-label Phase 3 Study of Encorafenib + Cetuximab +/- Binimetinib vs. Irinotecan + Cetuximab with a Safety Lead-in of Encorafenib + Binimetinib + Cetuximab in Patients with BRAF V600E-mutant Metastatic Colorectal Cancer"" COLUMBUS Trial / NCT01909453 ""A 2-part phase III randomized, open label, multicenter study of LGX818 plus MEK162 versus vemurafenib and LGX818monotherapy in patients with unresectable or metastatic BRAF V600 mutant melanoma"" NEMO Trial / NCT01763164 ""A Randomized Phase III, Open Label, Multicenter, Two- arm Study Comparing the Efficacy of MEK162 Versus Dacarbazine in Patients With Advanced Unresectable or Metastatic NRAS Mutation-positive Melanoma"" MILO Trial / NCT01849874 "" A Multinational, Randomized, Open-label Phase 3 Study of MEK162 vs.",0
"""Marks"" means the trademarks, service marks, trademark and service mark applications, trade names, logos, insignia, symbols, designs or other marks identifying a party or its products.",0
